trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
CD3 on CD8 T,public,Roederer,Immune system,NA,158,1,NA,NA,Female twins,1626138,25772697,European,1,497,1699.232812,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD123 on 11c+123+DC,public,Roederer,Immune system,NA,159,1,NA,NA,Female twins,1623131,25772697,European,1,497,7441.269347,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD3 on DN T,public,Roederer,Immune system,NA,160,1,NA,NA,Female twins,1617019,25772697,European,1,497,2269.639603,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD3 on 127+DN T,public,Roederer,Immune system,NA,161,1,NA,NA,Female twins,1617019,25772697,European,1,497,2559.84597,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD32 on 11c+123+DC,public,Roederer,Immune system,NA,162,1,NA,NA,Female twins,1623131,25772697,European,1,497,1558.302098,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD8:%Senescent,public,Roederer,Immune system,NA,163,1,NA,NA,Female twins,1623131,25772697,European,1,497,10.14235167,%,Females,Immune cell subset frequency,2015,,,
CD8mem:%CD31+,public,Roederer,Immune system,NA,164,1,NA,NA,Female twins,1624927,25772697,European,1,497,9.44916508,%,Females,Immune cell subset frequency,2015,,,
CD8:%TM-like,public,Roederer,Immune system,NA,165,1,NA,NA,Female twins,1627105,25772697,European,1,497,1.358874149,%,Females,Immune cell subset frequency,2015,,,
CD8:%TE,public,Roederer,Immune system,NA,166,1,NA,NA,Female twins,1623131,25772697,European,1,497,17.58204533,%,Females,Immune cell subset frequency,2015,,,
CD8:%SCM,public,Roederer,Immune system,NA,167,1,NA,NA,Female twins,1625043,25772697,European,1,497,5.98445414,%,Females,Immune cell subset frequency,2015,,,
CD8:%Naive,public,Roederer,Immune system,NA,168,1,NA,NA,Female twins,1626456,25772697,European,1,497,6.438695684,%,Females,Immune cell subset frequency,2015,,,
DNT:%CD127+TEF,public,Roederer,Immune system,NA,169,1,NA,NA,Female twins,1620906,25772697,European,1,497,2.967430175,%,Females,Immune cell subset frequency,2015,,,
CD4:%SCM,public,Roederer,Immune system,NA,170,1,NA,NA,Female twins,1624213,25772697,European,1,497,3.753238341,%,Females,Immune cell subset frequency,2015,,,
CD8:%RTE,public,Roederer,Immune system,NA,171,1,NA,NA,Female twins,1623131,25772697,European,1,497,16.01421859,%,Females,Immune cell subset frequency,2015,,,
DPT:%Exhausted,public,Roederer,Immune system,NA,172,1,NA,NA,Female twins,1624114,25772697,European,1,497,15.93040934,%,Females,Immune cell subset frequency,2015,,,
CD4:%Exhausted,public,Roederer,Immune system,NA,173,1,NA,NA,Female twins,1626712,25772697,European,1,497,1.139006414,%,Females,Immune cell subset frequency,2015,,,
CD4:%TM (1),public,Roederer,Immune system,NA,174,1,NA,NA,Female twins,1624213,25772697,European,1,497,4.403905639,%,Females,Immune cell subset frequency,2015,,,
CD4:%TM (2),public,Roederer,Immune system,NA,175,1,NA,NA,Female twins,1630722,25772697,European,1,497,5.470066923,%,Females,Immune cell subset frequency,2015,,,
CD4:%Naive,public,Roederer,Immune system,NA,176,1,NA,NA,Female twins,1623131,25772697,European,1,497,10.20495963,%,Females,Immune cell subset frequency,2015,,,
CD4:%CD244+ NaÇîve,public,Roederer,Immune system,NA,177,1,NA,NA,Female twins,1628825,25772697,European,1,497,1.002150787,%,Females,Immune cell subset frequency,2015,,,
CD4:%RTE,public,Roederer,Immune system,NA,178,1,NA,NA,Female twins,1626847,25772697,European,1,497,0.374450367,%,Females,Immune cell subset frequency,2015,,,
CD8:%SCM,public,Roederer,Immune system,NA,179,1,NA,NA,Female twins,1627852,25772697,European,1,497,3.079849359,%,Females,Immune cell subset frequency,2015,,,
CD8:%TEM,public,Roederer,Immune system,NA,180,1,NA,NA,Female twins,1629311,25772697,European,1,497,5.884058798,%,Females,Immune cell subset frequency,2015,,,
CD8:%CM,public,Roederer,Immune system,NA,181,1,NA,NA,Female twins,1624330,25772697,European,1,497,8.507576541,%,Females,Immune cell subset frequency,2015,,,
CD4:%RTE,public,Roederer,Immune system,NA,182,1,NA,NA,Female twins,1624348,25772697,European,1,497,7.78394432,%,Females,Immune cell subset frequency,2015,,,
CD8:%Act(25+),public,Roederer,Immune system,NA,183,1,NA,NA,Female twins,1627574,25772697,European,1,497,6.028113477,%,Females,Immune cell subset frequency,2015,,,
CD8:%Act(25+38+),public,Roederer,Immune system,NA,184,1,NA,NA,Female twins,1627088,25772697,European,1,497,0.340865038,%,Females,Immune cell subset frequency,2015,,,
CD8:%39+,public,Roederer,Immune system,NA,185,1,NA,NA,Female twins,1625320,25772697,European,1,497,2.260555443,%,Females,Immune cell subset frequency,2015,,,
CD8:%DR+73+39-25-,public,Roederer,Immune system,NA,186,1,NA,NA,Female twins,1627030,25772697,European,1,497,0.192336088,%,Females,Immune cell subset frequency,2015,,,
CD8:%Act(25+38+RO+),public,Roederer,Immune system,NA,187,1,NA,NA,Female twins,1627827,25772697,European,1,497,0.207199929,%,Females,Immune cell subset frequency,2015,,,
CD4:%Eff(127-PD1-),public,Roederer,Immune system,NA,188,1,NA,NA,Female twins,1624011,25772697,European,1,497,3.329083188,%,Females,Immune cell subset frequency,2015,,,
CD4:%Treg(39+73-),public,Roederer,Immune system,NA,189,1,NA,NA,Female twins,1624626,25772697,European,1,497,3.407091636,%,Females,Immune cell subset frequency,2015,,,
CD4:%Act(38+),public,Roederer,Immune system,NA,190,1,NA,NA,Female twins,1624042,25772697,European,1,497,13.69613457,%,Females,Immune cell subset frequency,2015,,,
CD4:%Treg(39+),public,Roederer,Immune system,NA,191,1,NA,NA,Female twins,1624015,25772697,European,1,497,3.672548711,%,Females,Immune cell subset frequency,2015,,,
CD4:%Treg(39-73+),public,Roederer,Immune system,NA,192,1,NA,NA,Female twins,1624619,25772697,European,1,497,4.133134164,%,Females,Immune cell subset frequency,2015,,,
CD4:%Treg(73+),public,Roederer,Immune system,NA,193,1,NA,NA,Female twins,1624619,25772697,European,1,497,4.282831888,%,Females,Immune cell subset frequency,2015,,,
CD4:%Treg(39+73+),public,Roederer,Immune system,NA,194,1,NA,NA,Female twins,1627708,25772697,European,1,497,0.588150156,%,Females,Immune cell subset frequency,2015,,,
CD4:%Act(25+127+),public,Roederer,Immune system,NA,195,1,NA,NA,Female twins,1625458,25772697,European,1,497,0.926170417,%,Females,Immune cell subset frequency,2015,,,
CD4:%Act(DR+),public,Roederer,Immune system,NA,196,1,NA,NA,Female twins,1625963,25772697,European,1,497,1.096530732,%,Females,Immune cell subset frequency,2015,,,
CD4:%Act(DR+38+),public,Roederer,Immune system,NA,197,1,NA,NA,Female twins,1625684,25772697,European,1,497,0.759681023,%,Females,Immune cell subset frequency,2015,,,
CD4:%Act(PD1+),public,Roederer,Immune system,NA,198,1,NA,NA,Female twins,1626411,25772697,European,1,497,4.642887221,%,Females,Immune cell subset frequency,2015,,,
CD4:%Act(PD1+127+39-73-),public,Roederer,Immune system,NA,199,1,NA,NA,Female twins,1626411,25772697,European,1,497,3.365429278,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th1* (1),public,Roederer,Immune system,NA,200,1,NA,NA,Female twins,1628210,25772697,European,1,497,1.031436962,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th17,public,Roederer,Immune system,NA,201,1,NA,NA,Female twins,1626598,25772697,European,1,497,1.810910859,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%preTh17 (1),public,Roederer,Immune system,NA,202,1,NA,NA,Female twins,1624926,25772697,European,1,497,0.279374671,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th22,public,Roederer,Immune system,NA,203,1,NA,NA,Female twins,1627217,25772697,European,1,497,0.091144126,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%preTh17 (2),public,Roederer,Immune system,NA,204,1,NA,NA,Female twins,1622995,25772697,European,1,497,2.95316094,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th1* (2),public,Roederer,Immune system,NA,205,1,NA,NA,Female twins,1625300,25772697,European,1,497,1.713444539,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th1* (3),public,Roederer,Immune system,NA,206,1,NA,NA,Female twins,1628210,25772697,European,1,497,0.231998846,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%PD1-R6+,public,Roederer,Immune system,NA,207,1,NA,NA,Female twins,1623949,25772697,European,1,497,3.454069888,%,Females,Immune cell subset frequency,2015,,,
CD4mem:R6+,public,Roederer,Immune system,NA,208,1,NA,NA,Female twins,1625877,25772697,European,1,497,3.966199506,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th1* (4),public,Roederer,Immune system,NA,209,1,NA,NA,Female twins,1624942,25772697,European,1,497,1.194730967,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th1* (5),public,Roederer,Immune system,NA,210,1,NA,NA,Female twins,1623708,25772697,European,1,497,1.781284408,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%cFTH (1),public,Roederer,Immune system,NA,211,1,NA,NA,Female twins,1624305,25772697,European,1,497,0.807883037,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%cFTH (2),public,Roederer,Immune system,NA,212,1,NA,NA,Female twins,1624585,25772697,European,1,497,0.47615478,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%cFTH (3),public,Roederer,Immune system,NA,213,1,NA,NA,Female twins,1625845,25772697,European,1,497,0.486040624,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%Th0,public,Roederer,Immune system,NA,214,1,NA,NA,Female twins,1623149,25772697,European,1,497,5.331214862,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%Th2,public,Roederer,Immune system,NA,215,1,NA,NA,Female twins,1623860,25772697,European,1,497,4.20305322,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%preTh17,public,Roederer,Immune system,NA,216,1,NA,NA,Female twins,1623361,25772697,European,1,497,0.534828928,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%R6+R4-,public,Roederer,Immune system,NA,217,1,NA,NA,Female twins,1622489,25772697,European,1,497,0.50658425,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%Th1,public,Roederer,Immune system,NA,218,1,NA,NA,Female twins,1623149,25772697,European,1,497,2.169452675,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%TFH (1),public,Roederer,Immune system,NA,219,1,NA,NA,Female twins,1625140,25772697,European,1,497,0.418231876,%,Females,Immune cell subset frequency,2015,,,
CD4nv:%TFH (2),public,Roederer,Immune system,NA,220,1,NA,NA,Female twins,1625876,25772697,European,1,497,0.62983003,%,Females,Immune cell subset frequency,2015,,,
CD8mem:%PD1+R6+,public,Roederer,Immune system,NA,221,1,NA,NA,Female twins,1625344,25772697,European,1,497,2.965720846,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""Th17""",public,Roederer,Immune system,NA,222,1,NA,NA,Female twins,1628066,25772697,European,1,497,0.239417188,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""Th2""",public,Roederer,Immune system,NA,223,1,NA,NA,Female twins,1625957,25772697,European,1,497,7.990578098,%,Females,Immune cell subset frequency,2015,,,
CD8mem:%Th22,public,Roederer,Immune system,NA,224,1,NA,NA,Female twins,1625211,25772697,European,1,497,0.016788923,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""pre-Th17"" (1)",public,Roederer,Immune system,NA,225,1,NA,NA,Female twins,1624863,25772697,European,1,497,9.326811392,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""pre-Th17"" (2)",public,Roederer,Immune system,NA,226,1,NA,NA,Female twins,1624370,25772697,European,1,497,12.31508034,%,Females,Immune cell subset frequency,2015,,,
CD8mem:%R6+PD1+161-,public,Roederer,Immune system,NA,227,1,NA,NA,Female twins,1624110,25772697,European,1,497,0.445065642,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""Th1""",public,Roederer,Immune system,NA,228,1,NA,NA,Female twins,1623411,25772697,European,1,497,12.77735455,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""Th1*""",public,Roederer,Immune system,NA,229,1,NA,NA,Female twins,1626881,25772697,European,1,497,2.635221518,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""TFH"" (1)",public,Roederer,Immune system,NA,230,1,NA,NA,Female twins,1623955,25772697,European,1,497,1.942089489,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""TFH"" (2)",public,Roederer,Immune system,NA,231,1,NA,NA,Female twins,1624305,25772697,European,1,497,0.564483924,%,Females,Immune cell subset frequency,2015,,,
"CD8mem:%""TFH"" (3)",public,Roederer,Immune system,NA,232,1,NA,NA,Female twins,1624651,25772697,European,1,497,0.371636043,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%Th9,public,Roederer,Immune system,NA,233,1,NA,NA,Female twins,1621615,25772697,European,1,497,18.75463813,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%preTh17 (3),public,Roederer,Immune system,NA,234,1,NA,NA,Female twins,1629231,25772697,European,1,497,1.002644019,%,Females,Immune cell subset frequency,2015,,,
CD4Nv:%TFH (3),public,Roederer,Immune system,NA,235,1,NA,NA,Female twins,1623955,25772697,European,1,497,1.913139079,%,Females,Immune cell subset frequency,2015,,,
CD4mem:%R6+,public,Roederer,Immune system,NA,236,1,NA,NA,Female twins,1623818,25772697,European,1,497,1.544224734,%,Females,Immune cell subset frequency,2015,,,
NKeff:%Act(314+),public,Roederer,Immune system,NA,237,1,NA,NA,Female twins,1627500,25772697,European,1,497,11.5352967,%,Females,Immune cell subset frequency,2015,,,
NKeff:%Act(335+),public,Roederer,Immune system,NA,238,1,NA,NA,Female twins,1623131,25772697,European,1,497,17.11256663,%,Females,Immune cell subset frequency,2015,,,
NKeff:%337+,public,Roederer,Immune system,NA,239,1,NA,NA,Female twins,1626569,25772697,European,1,497,0.583640233,%,Females,Immune cell subset frequency,2015,,,
NKeff:%Kir (1),public,Roederer,Immune system,NA,240,1,NA,NA,Female twins,1625628,25772697,European,1,497,5.249634134,%,Females,Immune cell subset frequency,2015,,,
NKeff:%314-158a+,public,Roederer,Immune system,NA,241,1,NA,NA,Female twins,1630722,25772697,European,1,497,2.467336556,%,Females,Immune cell subset frequency,2015,,,
NKeff:%2-158a+,public,Roederer,Immune system,NA,242,1,NA,NA,Female twins,1623131,25772697,European,1,497,4.372789165,%,Females,Immune cell subset frequency,2015,,,
NKeff:%Kir+ (2),public,Roederer,Immune system,NA,243,1,NA,NA,Female twins,1624625,25772697,European,1,497,8.612764458,%,Females,Immune cell subset frequency,2015,,,
NKeff:%Kir+ (3),public,Roederer,Immune system,NA,244,1,NA,NA,Female twins,1626267,25772697,European,1,497,0.992670398,%,Females,Immune cell subset frequency,2015,,,
NKeff:%Kir+ (4),public,Roederer,Immune system,NA,245,1,NA,NA,Female twins,1627000,25772697,European,1,497,4.070227891,%,Females,Immune cell subset frequency,2015,,,
NKeff:%2+337-R7-,public,Roederer,Immune system,NA,246,1,NA,NA,Female twins,1626347,25772697,European,1,497,14.74263097,%,Females,Immune cell subset frequency,2015,,,
NKeff:%314-R7-,public,Roederer,Immune system,NA,247,1,NA,NA,Female twins,1624787,25772697,European,1,497,12.19011041,%,Females,Immune cell subset frequency,2015,,,
NKearly:%337+335+R7-,public,Roederer,Immune system,NA,248,1,NA,NA,Female twins,1625566,25772697,European,1,497,0.514823573,%,Females,Immune cell subset frequency,2015,,,
NKearly:%337+158b+,public,Roederer,Immune system,NA,249,1,NA,NA,Female twins,1625240,25772697,European,1,497,0.852897201,%,Females,Immune cell subset frequency,2015,,,
NKearly:%335+314-,public,Roederer,Immune system,NA,250,1,NA,NA,Female twins,1630722,25772697,European,1,497,9.997005966,%,Females,Immune cell subset frequency,2015,,,
NKearly:%337+,public,Roederer,Immune system,NA,251,1,NA,NA,Female twins,1625240,25772697,European,1,497,0.917393467,%,Females,Immune cell subset frequency,2015,,,
NKearly:%337+335+2-,public,Roederer,Immune system,NA,252,1,NA,NA,Female twins,1627721,25772697,European,1,497,0.227066902,%,Females,Immune cell subset frequency,2015,,,
CD8:%TM (1),public,Roederer,Immune system,NA,253,1,NA,NA,Female twins,1624910,25772697,European,1,497,3.713235804,%,Females,Immune cell subset frequency,2015,,,
CD8:%R5+,public,Roederer,Immune system,NA,254,1,NA,NA,Female twins,1623131,25772697,European,1,497,14.64259575,%,Females,Immune cell subset frequency,2015,,,
CD8:%TM (2),public,Roederer,Immune system,NA,255,1,NA,NA,Female twins,1624296,25772697,European,1,497,2.955423164,%,Females,Immune cell subset frequency,2015,,,
GdT:%CM (1),public,Roederer,Immune system,NA,256,1,NA,NA,Female twins,1628002,25772697,European,1,497,0.47186826,%,Females,Immune cell subset frequency,2015,,,
GdT:%CM (2),public,Roederer,Immune system,NA,257,1,NA,NA,Female twins,1627844,25772697,European,1,497,8.232757253,%,Females,Immune cell subset frequency,2015,,,
NKT:%TM,public,Roederer,Immune system,NA,258,1,NA,NA,Female twins,1625872,25772697,European,1,497,7.303020716,%,Females,Immune cell subset frequency,2015,,,
